"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"ClinicalDocument","ClinicalDocument","","","",1,1,"","","","null {[]} {[]}
","Base for all types and resources","Base definition for all types defined in FHIR type system.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"ClinicalDocument.setId","ClinicalDocument.setId","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/II {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.setId",0,1,"",""
"ClinicalDocument.versionNumber","ClinicalDocument.versionNumber","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/INT {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.versionNumber",0,1,"",""
"ClinicalDocument.copyTime","ClinicalDocument.copyTime","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/TS {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.copyTime",0,1,"",""
"ClinicalDocument.recordTarget","ClinicalDocument.recordTarget","","","",1,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/RecordTarget {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.recordTarget",1,*,"",""
"ClinicalDocument.author","ClinicalDocument.author","","","",1,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/Author {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.author",1,*,"",""
"ClinicalDocument.dataEnterer","ClinicalDocument.dataEnterer","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/DataEnterer {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.dataEnterer",0,1,"",""
"ClinicalDocument.informant","ClinicalDocument.informant","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/Informant {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.informant",0,*,"",""
"ClinicalDocument.custodian","ClinicalDocument.custodian","","","",1,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/Custodian {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.custodian",1,1,"",""
"ClinicalDocument.informationRecipient","ClinicalDocument.informationRecipient","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/InformationRecipient {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.informationRecipient",0,*,"",""
"ClinicalDocument.legalAuthenticator","ClinicalDocument.legalAuthenticator","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/LegalAuthenticator {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.legalAuthenticator",0,1,"",""
"ClinicalDocument.authenticator","ClinicalDocument.authenticator","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/Authenticator {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.authenticator",0,*,"",""
"ClinicalDocument.participant","ClinicalDocument.participant","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/Participant1 {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.participant",0,*,"",""
"ClinicalDocument.inFulfillmentOf","ClinicalDocument.inFulfillmentOf","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/InFulfillmentOf {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.inFulfillmentOf",0,*,"",""
"ClinicalDocument.documentationOf","ClinicalDocument.documentationOf","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/DocumentationOf {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.documentationOf",0,*,"",""
"ClinicalDocument.relatedDocument","ClinicalDocument.relatedDocument","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/RelatedDocument {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.relatedDocument",0,*,"",""
"ClinicalDocument.authorization","ClinicalDocument.authorization","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/Authorization {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.authorization",0,*,"",""
"ClinicalDocument.componentOf","ClinicalDocument.componentOf","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/ComponentOf {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.componentOf",0,1,"",""
"ClinicalDocument.component","ClinicalDocument.component","","","",1,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/Component {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.component",1,1,"",""
