Fragment,Count,Time (ms),Size (bytes)
Cross.list-byid-clinicalusedefinitions-json,1,0,0
Cross.list-byid-clinicalusedefinitions-xml,1,0,0
Cross.list-byid-codesystems,1,0,319
Cross.list-byid-codesystems-json,1,0,329
Cross.list-byid-codesystems-xml,1,0,327
Cross.list-byid-communicationrequests,1,0,0
Cross.list-byid-communicationrequests-json,1,0,0
Cross.list-byid-communicationrequests-xml,1,0,0
Cross.list-byid-communications,1,0,0
Cross.list-byid-communications-json,1,0,0
Cross.list-byid-communications-xml,1,0,0
Cross.list-byid-compartmentdefinitions,1,0,0
Cross.list-byid-compartmentdefinitions-json,1,0,0
Cross.list-byid-compartmentdefinitions-xml,1,1,0
Cross.list-byid-compositions,1,0,0
Cross.list-byid-compositions-json,1,1,0
Cross.list-byid-compositions-xml,1,1,0
Cross.list-byid-conceptmaps,1,0,0
Cross.list-byid-conceptmaps-json,1,0,0
Cross.list-byid-conceptmaps-xml,1,1,0
Cross.list-byid-conditiondefinitions,1,0,0
Cross.list-byid-conditiondefinitions-json,1,1,0
Cross.list-byid-conditiondefinitions-xml,1,1,0
Cross.list-byid-conditions,1,0,0
Cross.list-byid-conditions-json,1,0,0
Cross.list-byid-conditions-xml,1,0,0
Cross.list-byid-consents,1,0,0
Cross.list-byid-consents-json,1,0,0
Cross.list-byid-consents-xml,1,0,0
Cross.list-byid-contracts,1,0,0
Cross.list-byid-contracts-json,1,0,0
Cross.list-byid-contracts-xml,1,1,0
Cross.list-byid-coverageeligibilityrequests,1,0,0
Cross.list-byid-coverageeligibilityrequests-json,1,1,0
Cross.list-byid-coverageeligibilityrequests-xml,1,1,0
Cross.list-byid-coverageeligibilityresponses,1,0,0
Cross.list-byid-coverageeligibilityresponses-json,1,1,0
Cross.list-byid-coverageeligibilityresponses-xml,1,1,0
Cross.list-byid-coverages,1,0,0
Cross.list-byid-coverages-json,1,1,0
Cross.list-byid-coverages-xml,1,1,0
Cross.list-byid-detectedissues,1,0,0
Cross.list-byid-detectedissues-json,1,0,0
Cross.list-byid-detectedissues-xml,1,0,0
Cross.list-byid-deviceassociations,1,0,0
Cross.list-byid-deviceassociations-json,1,1,0
Cross.list-byid-deviceassociations-xml,1,1,0
Cross.list-byid-devicedefinitions,1,0,0
Cross.list-byid-devicedefinitions-json,1,0,0
Cross.list-byid-devicedefinitions-xml,1,0,0
Cross.list-byid-devicedispenses,1,0,0
Cross.list-byid-devicedispenses-json,1,0,0
Cross.list-byid-devicedispenses-xml,1,1,0
Cross.list-byid-devicemetrics,1,0,0
Cross.list-byid-devicemetrics-json,1,1,0
Cross.list-byid-devicemetrics-xml,1,1,0
Cross.list-byid-devicerequests,1,0,0
Cross.list-byid-devicerequests-json,1,0,0
Cross.list-byid-devicerequests-xml,1,0,0
Cross.list-byid-devices,1,1,0
Cross.list-byid-devices-json,1,1,0
Cross.list-byid-devices-xml,1,1,0
Cross.list-byid-deviceusages,1,0,0
Cross.list-byid-deviceusages-json,1,0,0
Cross.list-byid-deviceusages-xml,1,0,0
Cross.list-byid-diagnosticreports,1,0,0
Cross.list-byid-diagnosticreports-json,1,0,0
Cross.list-byid-diagnosticreports-xml,1,0,0
Cross.list-byid-documentreferences,1,0,0
Cross.list-byid-documentreferences-json,1,0,0
Cross.list-byid-documentreferences-xml,1,1,0
Cross.list-byid-domainresources,1,0,0
Cross.list-byid-domainresources-json,1,1,0
Cross.list-byid-domainresources-xml,1,1,0
Cross.list-byid-encounterhistories,1,0,0
Cross.list-byid-encounterhistories-json,1,1,0
Cross.list-byid-encounterhistories-xml,1,1,0
Cross.list-byid-encounters,1,0,0
Cross.list-byid-encounters-json,1,0,0
Cross.list-byid-encounters-xml,1,0,0
Cross.list-byid-endpoints,1,0,0
Cross.list-byid-endpoints-json,1,0,0
Cross.list-byid-endpoints-xml,1,1,0
Cross.list-byid-enrollmentrequests,1,0,0
Cross.list-byid-enrollmentrequests-json,1,1,0
Cross.list-byid-enrollmentrequests-xml,1,1,0
Cross.list-byid-enrollmentresponses,1,0,0
Cross.list-byid-enrollmentresponses-json,1,0,0
Cross.list-byid-enrollmentresponses-xml,1,0,0
Cross.list-byid-episodeofcares,1,0,0
Cross.list-byid-episodeofcares-json,1,0,0
Cross.list-byid-episodeofcares-xml,1,0,0
Cross.list-byid-eventdefinitions,1,0,0
Cross.list-byid-eventdefinitions-json,1,0,0
Cross.list-byid-eventdefinitions-xml,1,1,0
Cross.list-byid-evidencereports,1,0,0
Cross.list-byid-evidencereports-json,1,0,0
Cross.list-byid-evidencereports-xml,1,0,0
Cross.list-byid-evidences,1,0,0
Cross.list-byid-evidences-json,1,0,0
Cross.list-byid-evidences-xml,1,1,0
Cross.list-byid-evidencevariables,1,0,0
Cross.list-byid-evidencevariables-json,1,1,0
Cross.list-byid-evidencevariables-xml,1,1,0
Cross.list-byid-examplescenarios,1,0,0
Cross.list-byid-examplescenarios-json,1,0,0
Cross.list-byid-examplescenarios-xml,1,0,0
Cross.list-byid-explanationofbenefits,1,0,0
Cross.list-byid-explanationofbenefits-json,1,1,0
Cross.list-byid-explanationofbenefits-xml,1,1,0
Cross.list-byid-familymemberhistories,1,0,0
Cross.list-byid-familymemberhistories-json,1,0,0
Cross.list-byid-familymemberhistories-xml,1,0,0
Cross.list-byid-flags,1,0,0
Cross.list-byid-flags-json,1,0,0
Cross.list-byid-flags-xml,1,1,0
Cross.list-byid-formularyitems,1,0,0
Cross.list-byid-formularyitems-json,1,0,0
Cross.list-byid-formularyitems-xml,1,0,0
Cross.list-byid-genomicstudies,1,0,0
Cross.list-byid-genomicstudies-json,1,0,0
Cross.list-byid-genomicstudies-xml,1,0,0
Cross.list-byid-goals,1,0,0
Cross.list-byid-goals-json,1,0,0
Cross.list-byid-goals-xml,1,1,0
Cross.list-byid-graphdefinitions,1,0,0
Cross.list-byid-graphdefinitions-json,1,0,0
Cross.list-byid-graphdefinitions-xml,1,0,0
Cross.list-byid-groups,1,0,0
Cross.list-byid-groups-json,1,0,0
Cross.list-byid-groups-xml,1,1,0
Cross.list-byid-guidanceresponses,1,0,0
Cross.list-byid-guidanceresponses-json,1,0,0
Cross.list-byid-guidanceresponses-xml,1,0,0
Cross.list-byid-healthcareservices,1,0,0
Cross.list-byid-healthcareservices-json,1,0,0
Cross.list-byid-healthcareservices-xml,1,0,0
Cross.list-byid-imagingselections,1,0,0
Cross.list-byid-imagingselections-json,1,0,0
Cross.list-byid-imagingselections-xml,1,1,0
Cross.list-byid-imagingstudies,1,0,0
Cross.list-byid-imagingstudies-json,1,1,0
Cross.list-byid-imagingstudies-xml,1,1,0
Cross.list-byid-immunizationevaluations,1,0,0
Cross.list-byid-immunizationevaluations-json,1,1,0
Cross.list-byid-immunizationevaluations-xml,1,1,0
Cross.list-byid-immunizationrecommendations,1,0,0
Cross.list-byid-immunizationrecommendations-json,1,0,0
Cross.list-byid-immunizationrecommendations-xml,1,0,0
Cross.list-byid-immunizations,1,0,0
Cross.list-byid-immunizations-json,1,0,0
Cross.list-byid-immunizations-xml,1,0,0
Cross.list-byid-implementationguides,1,0,96
Cross.list-byid-implementationguides-json,1,0,101
Cross.list-byid-implementationguides-xml,1,0,100
Cross.list-byid-ingredients,1,0,0
Cross.list-byid-ingredients-json,1,0,0
Cross.list-byid-ingredients-xml,1,0,0
Cross.list-byid-insuranceplans,1,0,0
Cross.list-byid-insuranceplans-json,1,0,0
Cross.list-byid-insuranceplans-xml,1,1,0
Cross.list-byid-inventoryitems,1,0,0
Cross.list-byid-inventoryitems-json,1,0,0
Cross.list-byid-inventoryitems-xml,1,0,0
Cross.list-byid-inventoryreports,1,0,0
Cross.list-byid-inventoryreports-json,1,0,0
Cross.list-byid-inventoryreports-xml,1,0,0
Cross.list-byid-invoices,1,0,0
Cross.list-byid-invoices-json,1,0,0
Cross.list-byid-invoices-xml,1,1,0
Cross.list-byid-libraries,1,0,0
Cross.list-byid-libraries-json,1,0,0
Cross.list-byid-libraries-xml,1,0,0
Cross.list-byid-linkages,1,0,0
Cross.list-byid-linkages-json,1,0,0
Cross.list-byid-linkages-xml,1,1,0
Cross.list-byid-lists,1,0,0
Cross.list-byid-lists-json,1,0,0
Cross.list-byid-lists-xml,1,1,0
Cross.list-byid-locations,1,0,0
Cross.list-byid-locations-json,1,0,0
Cross.list-byid-locations-xml,1,1,0
Cross.list-byid-manufactureditemdefinitions,1,0,0
Cross.list-byid-manufactureditemdefinitions-json,1,1,0
Cross.list-byid-manufactureditemdefinitions-xml,1,1,0
Cross.list-byid-measurereports,1,0,0
Cross.list-byid-measurereports-json,1,0,0
Cross.list-byid-measurereports-xml,1,0,0
Cross.list-byid-measures,1,0,0
Cross.list-byid-measures-json,1,0,0
Cross.list-byid-measures-xml,1,0,0
Cross.list-byid-medicationadministrations,1,1,0
Cross.list-byid-medicationadministrations-json,1,1,0
Cross.list-byid-medicationadministrations-xml,1,1,0
Cross.list-byid-medicationdispenses,1,0,0
Cross.list-byid-medicationdispenses-json,1,0,0
Cross.list-byid-medicationdispenses-xml,1,1,0
Cross.list-byid-medicationknowledges,1,0,0
Cross.list-byid-medicationknowledges-json,1,0,0
Cross.list-byid-medicationknowledges-xml,1,0,0
Cross.list-byid-medicationrequests,1,0,0
Cross.list-byid-medicationrequests-json,1,0,0
Cross.list-byid-medicationrequests-xml,1,1,0
Cross.list-byid-medications,1,0,0
Cross.list-byid-medications-json,1,0,0
Cross.list-byid-medications-xml,1,0,0
Cross.list-byid-medicationstatements,1,0,0
Cross.list-byid-medicationstatements-json,1,1,0
Cross.list-byid-medicationstatements-xml,1,1,0
Cross.list-byid-medicinalproductdefinitions,1,0,0
Cross.list-byid-medicinalproductdefinitions-json,1,1,0
Cross.list-byid-medicinalproductdefinitions-xml,1,1,0
Cross.list-byid-messagedefinitions,1,0,0
Cross.list-byid-messagedefinitions-json,1,1,0
Cross.list-byid-messagedefinitions-xml,1,1,0
Cross.list-byid-messageheaders,1,0,0
Cross.list-byid-messageheaders-json,1,0,0
Cross.list-byid-messageheaders-xml,1,0,0
Cross.list-byid-metadataresources,1,0,0
Cross.list-byid-metadataresources-json,1,1,0
Cross.list-byid-metadataresources-xml,1,1,0
Cross.list-byid-molecularsequences,1,0,0
Cross.list-byid-molecularsequences-json,1,0,0
Cross.list-byid-molecularsequences-xml,1,1,0
Cross.list-byid-namingsystems,1,0,0
Cross.list-byid-namingsystems-json,1,0,0
Cross.list-byid-namingsystems-xml,1,1,0
Cross.list-byid-nutritionintakes,1,0,0
Cross.list-byid-nutritionintakes-json,1,0,0
Cross.list-byid-nutritionintakes-xml,1,1,0
Cross.list-byid-nutritionorders,1,0,0
Cross.list-byid-nutritionorders-json,1,0,0
Cross.list-byid-nutritionorders-xml,1,0,0
Cross.list-byid-nutritionproducts,1,0,0
Cross.list-byid-nutritionproducts-json,1,1,0
Cross.list-byid-nutritionproducts-xml,1,1,0
Cross.list-byid-observationdefinitions,1,0,0
Cross.list-byid-observationdefinitions-json,1,0,0
Cross.list-byid-observationdefinitions-xml,1,0,0
Cross.list-byid-observations,1,0,0
Cross.list-byid-observations-json,1,0,0
Cross.list-byid-observations-xml,1,1,0
Cross.list-byid-operationdefinitions,1,0,0
Cross.list-byid-operationdefinitions-json,1,1,0
Cross.list-byid-operationdefinitions-xml,1,1,0
Cross.list-byid-operationoutcomes,1,0,0
Cross.list-byid-operationoutcomes-json,1,0,0
Cross.list-byid-operationoutcomes-xml,1,0,0
Cross.list-byid-organizationaffiliations,1,0,0
Cross.list-byid-organizationaffiliations-json,1,1,0
Cross.list-byid-organizationaffiliations-xml,1,1,0
Cross.list-byid-organizations,1,0,0
Cross.list-byid-organizations-json,1,1,0
Cross.list-byid-organizations-xml,1,1,0
Cross.list-byid-packagedproductdefinitions,1,1,0
Cross.list-byid-packagedproductdefinitions-json,1,1,0
Cross.list-byid-packagedproductdefinitions-xml,1,1,0
Cross.list-byid-parameters,1,0,0
Cross.list-byid-parameters-json,1,0,0
Cross.list-byid-parameters-xml,1,0,0
Cross.list-byid-patients,1,0,0
Cross.list-byid-patients-json,1,0,0
Cross.list-byid-patients-xml,1,1,0
Cross.list-byid-paymentnotices,1,0,0
Cross.list-byid-paymentnotices-json,1,0,0
Cross.list-byid-paymentnotices-xml,1,0,0
Cross.list-byid-paymentreconciliations,1,0,0
Cross.list-byid-paymentreconciliations-json,1,1,0
Cross.list-byid-paymentreconciliations-xml,1,1,0
Cross.list-byid-people,1,0,0
Cross.list-byid-people-json,1,1,0
Cross.list-byid-people-xml,1,1,0
Cross.list-byid-permissions,1,0,0
Cross.list-byid-permissions-json,1,1,0
Cross.list-byid-permissions-xml,1,1,0
Cross.list-byid-plandefinitions,1,0,0
Cross.list-byid-plandefinitions-json,1,0,0
Cross.list-byid-plandefinitions-xml,1,0,0
Cross.list-byid-practitionerroles,1,0,0
Cross.list-byid-practitionerroles-json,1,0,0
Cross.list-byid-practitionerroles-xml,1,0,0
Cross.list-byid-practitioners,1,0,0
Cross.list-byid-practitioners-json,1,1,0
Cross.list-byid-practitioners-xml,1,1,0
Cross.list-byid-procedures,1,0,0
Cross.list-byid-procedures-json,1,0,0
Cross.list-byid-procedures-xml,1,0,0
Cross.list-byid-provenances,1,0,0
Cross.list-byid-provenances-json,1,0,0
Cross.list-byid-provenances-xml,1,1,0
Cross.list-byid-questionnaireresponses,1,0,0
Cross.list-byid-questionnaireresponses-json,1,0,0
Cross.list-byid-questionnaireresponses-xml,1,1,0
Cross.list-byid-questionnaires,1,0,0
Cross.list-byid-questionnaires-json,1,0,0
Cross.list-byid-questionnaires-xml,1,1,0
Cross.list-byid-regulatedauthorizations,1,1,0
Cross.list-byid-regulatedauthorizations-json,1,1,0
Cross.list-byid-regulatedauthorizations-xml,1,1,0
Cross.list-byid-relatedpeople,1,0,0
Cross.list-byid-relatedpeople-json,1,0,0
Cross.list-byid-relatedpeople-xml,1,0,0
Cross.list-byid-requestorchestrations,1,0,0
Cross.list-byid-requestorchestrations-json,1,0,0
Cross.list-byid-requestorchestrations-xml,1,0,0
Cross.list-byid-requirements,1,0,0
Cross.list-byid-requirements-json,1,0,0
Cross.list-byid-requirements-xml,1,1,0
Cross.list-byid-researchstudies,1,0,0
Cross.list-byid-researchstudies-json,1,0,0
Cross.list-byid-researchstudies-xml,1,1,0
Cross.list-byid-researchsubjects,1,0,0
Cross.list-byid-researchsubjects-json,1,0,0
Cross.list-byid-researchsubjects-xml,1,0,0
Cross.list-byid-resources,1,0,0
Cross.list-byid-resources-json,1,0,0
Cross.list-byid-resources-xml,1,0,0
Cross.list-byid-riskassessments,1,1,0
Cross.list-byid-riskassessments-json,1,1,0
Cross.list-byid-riskassessments-xml,1,1,0
Cross.list-byid-schedules,1,0,0
Cross.list-byid-schedules-json,1,1,0
Cross.list-byid-schedules-xml,1,1,0
Cross.list-byid-searchparameters,1,0,0
Cross.list-byid-searchparameters-json,1,0,0
Cross.list-byid-searchparameters-xml,1,1,0
Cross.list-byid-servicerequests,1,0,0
Cross.list-byid-servicerequests-json,1,0,0
Cross.list-byid-servicerequests-xml,1,1,0
Cross.list-byid-slots,1,0,0
Cross.list-byid-slots-json,1,0,0
Cross.list-byid-slots-xml,1,0,0
Cross.list-byid-specimen,1,0,0
Cross.list-byid-specimen-json,1,1,0
Cross.list-byid-specimen-xml,1,1,0
Cross.list-byid-specimendefinitions,1,0,0
Cross.list-byid-specimendefinitions-json,1,0,0
Cross.list-byid-specimendefinitions-xml,1,1,0
Cross.list-byid-structuredefinitions,1,8,59370
Cross.list-byid-structuredefinitions-json,1,9,60115
Cross.list-byid-structuredefinitions-xml,1,9,59966
Cross.list-byid-structuremaps,1,0,0
Cross.list-byid-structuremaps-json,1,1,0
Cross.list-byid-structuremaps-xml,1,1,0
Cross.list-byid-subscriptions,1,0,0
Cross.list-byid-subscriptions-json,1,0,0
Cross.list-byid-subscriptions-xml,1,1,0
Cross.list-byid-subscriptionstatuses,1,0,0
Cross.list-byid-subscriptionstatuses-json,1,0,0
Cross.list-byid-subscriptionstatuses-xml,1,0,0
Cross.list-byid-subscriptiontopics,1,0,0
Cross.list-byid-subscriptiontopics-json,1,0,0
Cross.list-byid-subscriptiontopics-xml,1,0,0
Cross.list-byid-substancedefinitions,1,0,0
Cross.list-byid-substancedefinitions-json,1,0,0
Cross.list-byid-substancedefinitions-xml,1,0,0
Cross.list-byid-substancenucleicacids,1,1,0
Cross.list-byid-substancenucleicacids-json,1,1,0
Cross.list-byid-substancenucleicacids-xml,1,1,0
Cross.list-byid-substancepolymers,1,0,0
Cross.list-byid-substancepolymers-json,1,1,0
Cross.list-byid-substancepolymers-xml,1,1,0
Cross.list-byid-substanceproteins,1,0,0
Cross.list-byid-substanceproteins-json,1,0,0
Cross.list-byid-substanceproteins-xml,1,1,0
Cross.list-byid-substancereferenceinformations,1,0,0
Cross.list-byid-substancereferenceinformations-json,1,0,0
Cross.list-byid-substancereferenceinformations-xml,1,1,0
Cross.list-byid-substances,1,0,0
Cross.list-byid-substances-json,1,0,0
Cross.list-byid-substances-xml,1,1,0
Cross.list-byid-substancesourcematerials,1,0,0
Cross.list-byid-substancesourcematerials-json,1,0,0
Cross.list-byid-substancesourcematerials-xml,1,0,0
Cross.list-byid-supplydeliveries,1,0,0
Cross.list-byid-supplydeliveries-json,1,0,0
Cross.list-byid-supplydeliveries-xml,1,0,0
Cross.list-byid-supplyrequests,1,0,0
Cross.list-byid-supplyrequests-json,1,1,0
Cross.list-byid-supplyrequests-xml,1,2,0
Cross.list-byid-tasks,1,0,0
Cross.list-byid-tasks-json,1,0,0
Cross.list-byid-tasks-xml,1,1,0
Cross.list-byid-terminologycapabilities,1,0,0
Cross.list-byid-terminologycapabilities-json,1,0,0
Cross.list-byid-terminologycapabilities-xml,1,0,0
Cross.list-byid-testplans,1,0,0
Cross.list-byid-testplans-json,1,1,0
Cross.list-byid-testplans-xml,1,1,0
Cross.list-byid-testreports,1,0,0
Cross.list-byid-testreports-json,1,1,0
Cross.list-byid-testreports-xml,1,1,0
Cross.list-byid-testscripts,1,0,0
Cross.list-byid-testscripts-json,1,0,0
Cross.list-byid-testscripts-xml,1,1,0
Cross.list-byid-transports,1,0,0
Cross.list-byid-transports-json,1,1,0
Cross.list-byid-transports-xml,1,1,0
Cross.list-byid-valuesets,1,1,5462
Cross.list-byid-valuesets-json,1,3,5587
Cross.list-byid-valuesets-xml,1,4,5562
Cross.list-byid-verificationresults,1,0,0
Cross.list-byid-verificationresults-json,1,0,0
Cross.list-byid-verificationresults-xml,1,1,0
Cross.list-byid-visionprescriptions,1,0,0
Cross.list-byid-visionprescriptions-json,1,1,0
Cross.list-byid-visionprescriptions-xml,1,1,0
Cross.list-canonicalresources,1,0,0
Cross.list-canonicalresources-json,1,0,0
Cross.list-canonicalresources-xml,1,1,0
Cross.list-capabilitystatements,1,0,0
Cross.list-capabilitystatements-json,1,1,0
Cross.list-capabilitystatements-xml,1,1,0
Cross.list-careplans,1,0,0
Cross.list-careplans-json,1,0,0
Cross.list-careplans-xml,1,0,0
Cross.list-careteams,1,0,0
Cross.list-careteams-json,1,0,0
Cross.list-careteams-xml,1,1,0
Cross.list-chargeitemdefinitions,1,0,0
Cross.list-chargeitemdefinitions-json,1,0,0
Cross.list-chargeitemdefinitions-xml,1,0,0
Cross.list-chargeitems,1,0,0
Cross.list-chargeitems-json,1,0,0
Cross.list-chargeitems-xml,1,1,0
Cross.list-citations,1,0,0
Cross.list-citations-json,1,0,0
Cross.list-citations-xml,1,1,0
Cross.list-claimresponses,1,0,0
Cross.list-claimresponses-json,1,0,0
Cross.list-claimresponses-xml,1,0,0
Cross.list-claims,1,1,0
Cross.list-claims-json,1,1,0
Cross.list-claims-xml,1,1,0
Cross.list-clinicalimpressions,1,1,0
Cross.list-clinicalimpressions-json,1,1,0
Cross.list-clinicalimpressions-xml,1,1,0
Cross.list-clinicalusedefinitions,1,0,0
Cross.list-clinicalusedefinitions-json,1,0,0
Cross.list-clinicalusedefinitions-xml,1,0,0
Cross.list-codesystems,1,0,319
Cross.list-codesystems-json,1,1,329
Cross.list-codesystems-xml,1,1,327
Cross.list-communicationrequests,1,0,0
Cross.list-communicationrequests-json,1,0,0
Cross.list-communicationrequests-xml,1,0,0
Cross.list-communications,1,0,0
Cross.list-communications-json,1,0,0
Cross.list-communications-xml,1,0,0
Cross.list-compartmentdefinitions,1,0,0
Cross.list-compartmentdefinitions-json,1,0,0
Cross.list-compartmentdefinitions-xml,1,0,0
Cross.list-compositions,1,0,0
Cross.list-compositions-json,1,1,0
Cross.list-compositions-xml,1,1,0
Cross.list-conceptmaps,1,0,0
Cross.list-conceptmaps-json,1,0,0
Cross.list-conceptmaps-xml,1,0,0
Cross.list-conditiondefinitions,1,0,0
Cross.list-conditiondefinitions-json,1,0,0
Cross.list-conditiondefinitions-xml,1,0,0
Cross.list-conditions,1,0,0
Cross.list-conditions-json,1,0,0
Cross.list-conditions-xml,1,0,0
Cross.list-consents,1,0,0
Cross.list-consents-json,1,0,0
Cross.list-consents-xml,1,0,0
Cross.list-contracts,1,0,0
Cross.list-contracts-json,1,0,0
Cross.list-contracts-xml,1,0,0
Cross.list-coverageeligibilityrequests,1,0,0
Cross.list-coverageeligibilityrequests-json,1,0,0
